,"104_20110701",05:35:00 AM,05:35:00 AM,"Bayshore Caltrain",3
,"104_20110701",05:41:00 AM,05:41:00 AM,"So. San Francisco Caltrain",4
,"104_20110701",05:45:00 AM,05:45:00 AM,"San Bruno Caltrain",5
,"104_20110701",05:49:00 AM,05:49:00 AM,"Millbrae Caltrain",6
,"104_20110701",05:53:00 AM,05:53:00 AM,"Burlingame Caltrain",7
,"104_20110701",05:56:00 AM,05:56:00 AM,"San Mateo Caltrain",8
,"104_20110701",05:59:00 AM,05:59:00 AM,"Hayward Park Caltrain",9
,"104_20110701",06:02:00 AM,06:02:00 AM,"Hillsdale Caltrain",10
,"104_20110701",06:05:00 AM,06:05:00 AM,"Belmont Caltrain",11
,"104_20110701",06:08:00 AM,06:08:00 AM,"San Carlos Caltrain",12
,"104_20110701",06:13:00 AM,06:13:00 AM,"Redwood City Caltrain",13
,"104_20110701",06:18:00 AM,06:18:00 AM,"Menlo Park Caltrain",14
,"104_20110701",06:21:00 AM,06:21:00 AM,"Palo Alto Caltrain",15
,"104_20110701",06:25:00 AM,06:25:00 AM,"California Ave Caltrain",16
,"104_20110701",06:29:00 AM,06:29:00 AM,"San Antonio Caltrain",17
,"104_20110701",06:33:00 AM,06:33:00 AM,"Mountain View Caltrain",18
,"104_20110701",06:38:00 AM,06:38:00 AM,"Sunnyvale Caltrain",19
,"104_20110701",06:42:00 AM,06:42:00 AM,"Lawrence Caltrain",20
,"104_20110701",06:47:00 AM,06:47:00 AM,"Santa Clara Caltrain",21
,"104_20110701",06:56:00 AM,06:56:00 AM,"San Jose Caltrain",22
,"104_20110701",07:03:00 AM,07:03:00 AM,"Tamien Caltrain",23
,"134_20110701",09:07:00 AM,09:07:00 AM,"San Francisco Caltrain",1
,"134_20110701",09:12:00 AM,09:12:00 AM,"22nd Street Caltrain",2
,"134_20110701",09:17:00 AM,09:17:00 AM,"Bayshore Caltrain",3
,"134_20110701",09:23:00 AM,09:23:00 AM,"So. San Francisco Caltrain",4
,"134_20110701",09:27:00 AM,09:27:00 AM,"San Bruno Caltrain",5
,"134_20110701",09:31:00 AM,09:31:00 AM,"Millbrae Caltrain",6
,"134_20110701",09:35:00 AM,09:35:00 AM,"Burlingame Caltrain",7
,"134_20110701",09:38:00 AM,09:38:00 AM,"San Mateo Caltrain",8
,"134_20110701",09:41:00 AM,09:41:00 AM,"Hayward Park Caltrain",9
,"134_20110701",09:44:00 AM,09:44:00 AM,"Hillsdale Caltrain",10
,"134_20110701",09:47:00 AM,09:47:00 AM,"Belmont Caltrain",11
,"134_20110701",09:50:00 AM,09:50:00 AM,"San Carlos Caltrain",12
,"134_20110701",09:55:00 AM,09:55:00 AM,"Redwood City Caltrain",13
,"134_20110701",10:00:00 AM,10:00:00 AM,"Menlo Park Caltrain",14
,"134_20110701",10:03:00 AM,10:03:00 AM,"Palo Alto Caltrain",15
,"134_20110701",10:07:00 AM,10:07:00 AM,"California Ave Caltrain",16
,"134_20110701",10:11:00 AM,10:11:00 AM,"San Antonio Caltrain",17
,"134_20110701",10:15:00 AM,10:15:00 AM,"Mountain View Caltrain",18
,"134_20110701",10:20:00 AM,10:20:00 AM,"Sunnyvale Caltrain",19
,"134_20110701",10:24:00 AM,10:24:00 AM,"Lawrence Caltrain",20
,"134_20110701",10:29:00 AM,10:29:00 AM,"Santa Clara Caltrain",21
,"134_20110701",10:38:00 AM,10:38:00 AM,"San Jose Caltrain",22
,"135_20110701",09:10:00 AM,09:10:00 AM,"San Jose Caltrain",1
,"135_20110701",09:15:00 AM,09:15:00 AM,"Santa Clara Caltrain",2
,"135_20110701",09:20:00 AM,09:20:00 AM,"Lawrence Caltrain",3
,"135_20110701",09:24:00 AM,09:24:00 AM,"Sunnyvale Caltrain",4
,"135_20110701",09:29:00 AM,09:29:00 AM,"Mountain View Caltrain",5
,"135_20110701",09:33:00 AM,09:33:00 AM,"San Antonio Caltrain",6
,"135_20110701",09:37:00 AM,09:37:00 AM,"California Ave Caltrain",7
,"135_20110701",09:41:00 AM,09:41:00 AM,"Palo Alto Caltrain",8
,"135_20110701",09:44:00 AM,09:44:00 AM,"Menlo Park Caltrain",9
,"135_20110701",09:49:00 AM,09:49:00 AM,"Redwood City Caltrain",10
,"135_20110701",09:53:00 AM,09:53:00 AM,"San Carlos Caltrain",11
,"135_20110701",09:56:00 AM,09:56:00 AM,"Belmont Caltrain",12
,"135_20110701",09:59:00 AM,09:59:00 AM,"Hillsdale Caltrain",13
,"135_20110701",10:02:00 AM,10:02:00 AM,"Hayward Park Caltrain",14
,"135_20110701",10:05:00 AM,10:05:00 AM,"San Mateo Caltrain",15
,"135_20110701",10:08:00 AM,10:08:00 AM,"Burlingame Caltrain",16
,"135_20110701",10:13:00 AM,10:13:00 AM,"Millbrae Caltrain",17
,"135_20110701",10:17:00 AM,10:17:00 AM,"San Bruno Caltrain",18
,"135_20110701",10:21:00 AM,10:21:00 AM,"So. San Francisco Caltrain",19
,"135_20110701",10:27:00 AM,10:27:00 AM,"Bayshore Caltrain",20
,"135_20110701",10:32:00 AM,10:32:00 AM,"22nd Street Caltrain",21
,"135_20110701",10:41:00 AM,10:41:00 AM,"San Francisco Caltrain",22
,"138_20110701",10:07:00 AM,10:07:00 AM,"San Francisco Caltrain",1
,"138_20110701",10:12:00 AM,10:12:00 AM,"22nd Street Caltrain",2
,"138_20110701",10:17:00 AM,10:17:00 AM,"Bayshore Caltrain",3
,"138_20110701",10:23:00 AM,10:23:00 AM,"So. San Francisco Caltrain",4
,"138_20110701",10:27:00 AM,10:27:00 AM,"San Bruno Caltrain",5
,"138_20110701",10:31:00 AM,10:31:00 AM,"Millbrae Caltrain",6
,"138_20110701",10:35:00 AM,10:35:00 AM,"Burlingame Caltrain",7
,"138_20110701",10:38:00 AM,10:38:00 AM,"San Mateo Caltrain",8
,"138_20110701",10:41:00 AM,10:41:00 AM,"Hayward Park Caltrain",9
,"138_20110701",10:44:00 AM,10:44:00 AM,"Hillsdale Caltrain",10
,"138_20110701",10:47:00 AM,10:47:00 AM,"Belmont Caltrain",11
,"138_20110701",10:50:00 AM,10:50:00 AM,"San Carlos Caltrain",12
,"138_20110701",10:55:00 AM,10:55:00 AM,"Redwood City Caltrain",13
,"138_20110701",11:00:00 AM,11:00:00 AM,"Menlo Park Caltrain",14
,"138_20110701",11:03:00 AM,11:03:00 AM,"Palo Alto Caltrain",15
,"138_20110701",11:07:00 AM,11:07:00 AM,"California Ave Caltrain",16
,"138_20110701",11:11:00 AM,11:11:00 AM,"San Antonio Caltrain",17
,"138_20110701",11:15:00 AM,11:15:00 AM,"Mountain View Caltrain",18
,"138_20110701",11:20:00 AM,11:20:00 AM,"Sunnyvale Caltrain",19
,"138_20110701",11:24:00 AM,11:24:00 AM,"Lawrence Caltrain",20
,"138_20110701",11:29:00 AM,11:29:00 AM,"Santa Clara Caltrain",21
,"138_20110701",11:38:00 AM,11:38:00 AM,"San Jose Caltrain",22
,"139_20110701",10:10:00 AM,10:10:00 AM,"San Jose Caltrain",1
,"139_20110701",10:15:00 AM,10:15:00 AM,"Santa Clara Caltrain",2
,"139_20110701",10:20:00 AM,10:20:00 AM,"Lawrence Caltrain",3
,"139_20110701",10:24:00 AM,10:24:00 AM,"Sunnyvale Caltrain",4
,"139_20110701",10:29:00 AM,10:29:00 AM,"Mountain View Caltrain",5
,"139_20110701",10:33:00 AM,10:33:00 AM,"San Antonio Caltrain",6
,"139_20110701",10:37:00 AM,10:37:00 AM,"California Ave Caltrain",7
,"139_20110701",10:41:00 AM,10:41:00 AM,"Palo Alto Caltrain",8
,"139_20110701",10:44:00 AM,10:44:00 AM,"Menlo Park Caltrain",9
,"139_20110701",10:49:00 AM,10:49:00 AM,"Redwood City Caltrain",10
,"139_20110701",10:53:00 AM,10:53:00 AM,"San Carlos Caltrain",11
,"139_20110701",10:56:00 AM,10:56:00 AM,"Belmont Caltrain",12
,"139_20110701",10:59:00 AM,10:59:00 AM,"Hillsdale Caltrain",13
,"139_20110701",11:02:00 AM,11:02:00 AM,"Hayward Park Caltrain",14
,"139_20110701",11:05:00 AM,11:05:00 AM,"San Mateo Caltrain",15
,"139_20110701",11:08:00 AM,11:08:00 AM,"Burlingame Caltrain",16
,"139_20110701",11:13:00 AM,11:13:00 AM,"Millbrae Caltrain",17
